OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
10077,1200 15TH ST,Animal Care & Control,15TH,SIDEWALK,2,4,,2012,1,37.767430999999995,-122.412933,POINT (-122.412932796 37.767431003),1/29/2020 12:38,6/17/2024 10:17,Mission,9,53,3,2,20,180,,,53
8644,1218 South Van Ness Ave,SF Tikes Academy,South Van Ness Ave,SIDEWALK,1,2,,2019,1,0,0,POINT (-122.416719161 37.7534661),1/29/2020 12:38,6/17/2024 10:17,Mission,9,53,3,2,20,87,,,53
14125,1797 Haight Street,Cold Steel America,Haight Street,SIDEWALK,6,12,,2021,2,,,POINT (-122.451751818 37.769401537),12/29/2021 16:46,6/17/2024 10:17,Haight Ashbury,5,25,7,11,3,91,,,25
9047,2001 Balboa,Balboa Bubbles,BALBOA,SIDEWALK,1,2,,2016,10,37.776427999999996,-122.480203,POINT (-122.480202533 37.776427598),1/29/2020 12:38,6/17/2024 10:17,Outer Richmond,1,8,8,4,29,92,,,8
10194,851 HOWARD ST,Pacific Energy Center,HOWARD,SIDEWALK,1,2,,2013,1,37.782119,-122.403482,POINT (-122.403481796 37.782119002),1/29/2020 12:38,6/17/2024 10:17,South of Market,6,32,1,10,34,36,4,,32
11812,1425 Folsom Street,Folsom Street Foundry,FOLSOM,SIDEWALK,2,4,,2017,4,37.772509,-122.413086,POINT (-122.413086397 37.772508587),1/29/2020 12:38,6/17/2024 10:17,South of Market,6,32,1,10,34,35,,,32
8721,550 Bayshore Blvd,Flower Craft Center,Bayshore Blvd,SIDEWALK,1,2,,2018,4,0,0,POINT (-122.407379551 37.739118251),1/29/2020 12:38,6/17/2024 10:17,Bernal Heights,9,82,2,2,2,189,,,82
20428,2 Excelsior Avenue,,Excelsior Avenue,SIDEWALK,2,4,,2022,12,,,POINT (-122.433552276 37.726192648),2/3/2023 15:09,6/17/2024 10:17,Excelsior,11,90,9,1,7,157,,,90
12474,212 CALIFORNIA ST,Town Consulting,CALIFORNIA,SIDEWALK,1,2,,2016,8,37.793405,-122.398966,POINT (-122.398966163 37.793405125),1/29/2020 12:38,6/17/2024 10:17,Financial District/South Beach,3,108,6,3,8,43,,,108
13623,4150 Noriega,,Noriega,SIDEWALK,2,4,,2020,7,,,POINT (-122.507996904 37.752857748),6/19/2020 16:23,6/17/2024 10:17,Sunset/Parkside,4,39,10,7,35,103,,,39
